Location,Latitude,Longitude,Free Bikes,Coordinates
Agronomy & East Mall,49.2617360647494,-123.246483808594,15,"(49.2617360647494, -123.246483808594)"
Orchard Commons,49.259999,-123.250902,10,"(49.259999, -123.250902)"
Yew & Broadway,49.263523,-123.155267,2,"(49.263523, -123.155267)"
Woodland & 10th,49.261263,-123.073707,5,"(49.261263, -123.073707)"
Ontario & 16th,49.256825,-123.105234,0,"(49.256825, -123.105234)"
14th & Alder,49.258819,-123.131317,2,"(49.258819, -123.131317)"
Chestnut & McNicoll,49.275938,-123.145939,4,"(49.275938, -123.145939)"
Dunbar & 6th,49.266636,-123.183661,16,"(49.266636, -123.183661)"
Stanley Park - Vancouver Aquarium,49.299292,-123.130281,2,"(49.299292, -123.130281)"
Yaletown-Roundhouse Station,49.274566,-123.121817,8,"(49.274566, -123.121817)"
Smithe & Burrard,49.282503,-123.124697,5,"(49.282503, -123.124697)"
Abbott & Cordova,49.282759,-123.106955,13,"(49.282759, -123.106955)"
Sasamat & 10th,49.264019,-123.209176,7,"(49.264019, -123.209176)"
Vine & 4th,49.268339,-123.157443,1,"(49.268339, -123.157443)"
10th & Ontario,49.262062,-123.104656,1,"(49.262062, -123.104656)"
Pine & 10th,49.262822,-123.14338,1,"(49.262822, -123.14338)"
Wallace & 4th,49.268974,-123.190701,6,"(49.268974, -123.190701)"
Pacific & Richards,49.273663,-123.127075,5,"(49.273663, -123.127075)"
7th &  Alder,49.265198,-123.131043,2,"(49.265198, -123.131043)"
Canada Place,49.287214,-123.11287,9,"(49.287214, -123.11287)"
Heather & 18th,49.255034,-123.120226,4,"(49.255034, -123.120226)"
14th & Oak,49.258761,-123.127071,0,"(49.258761, -123.127071)"
Bute & Comox,49.283343,-123.131099,7,"(49.283343, -123.131099)"
Comox & Broughton,49.285253,-123.134356,0,"(49.285253, -123.134356)"
Station & Terminal,49.272172,-123.097978,8,"(49.272172, -123.097978)"
Stanley Park - Third Beach Parking Lot,49.302577,-123.155616,11,"(49.302577, -123.155616)"
Woodland & 4th,49.266751,-123.073501,0,"(49.266751, -123.073501)"
8th & Ash,49.264215,-123.117772,2,"(49.264215, -123.117772)"
Burrard & Drake,49.27808,-123.130557,0,"(49.27808, -123.130557)"
10th & Kingsway,49.261973,-123.09725,1,"(49.261973, -123.09725)"
10th & Oak,49.262255,-123.126217,1,"(49.262255, -123.126217)"
Hawks & Union,49.277333,-123.087359,9,"(49.277333, -123.087359)"
Marinaside & Cooperage,49.273833,-123.114373,22,"(49.273833, -123.114373)"
Alberni & Jervis,49.28763,-123.127245,13,"(49.28763, -123.127245)"
7th & Arbutus,49.265605,-123.152566,7,"(49.265605, -123.152566)"
14th & Ontario,49.25849,-123.104799,1,"(49.25849, -123.104799)"
King Edward & Cambie,49.249184,-123.116141,1,"(49.249184, -123.116141)"
1st & Fir,49.270783,-123.141564,7,"(49.270783, -123.141564)"
Arbutus & 16th,49.257654,-123.153212,1,"(49.257654, -123.153212)"
War Memorial Gym,49.2665793,-123.2485487,3,"(49.2665793, -123.2485487)"
28th & Willow,49.246243,-123.124373,9,"(49.246243, -123.124373)"
Arbutus Greenway & Fir,49.266774,-123.141135,3,"(49.266774, -123.141135)"
West Mall Swing Space Building,49.263073,-123.254307,18,"(49.263073, -123.254307)"
McLean & Pender,49.280427,-123.074082,13,"(49.280427, -123.074082)"
Bute & Barclay,49.284893,-123.128685,5,"(49.284893, -123.128685)"
Balsam & Cornwall,49.273011,-123.159663,0,"(49.273011, -123.159663)"
Hastings & Broughton,49.290112,-123.127062,17,"(49.290112, -123.127062)"
Seymour & Cordova,49.28512,-123.11242,13,"(49.28512, -123.11242)"
Alder & 11th,49.261742,-123.13148,0,"(49.261742, -123.13148)"
10th & Columbia,49.262206,-123.109091,1,"(49.262206, -123.109091)"
Heather & 14th,49.259183,-123.120126,1,"(49.259183, -123.120126)"
Commercial & 20th,49.252656,-123.067965,1,"(49.252656, -123.067965)"
Kitsilano Beach Park,49.273355,-123.154493,17,"(49.273355, -123.154493)"
Rolston & Granville,49.274232,-123.129998,10,"(49.274232, -123.129998)"
Cordova & Bute,49.289124,-123.12196,12,"(49.289124, -123.12196)"
12th & Yukon (City Hall),49.260599,-123.113504,2,"(49.260599, -123.113504)"
Blenheim & 4th,49.268837,-123.177633,9,"(49.268837, -123.177633)"
Wylie & 2nd,49.267725,-123.11311,14,"(49.267725, -123.11311)"
Thurlow & Pendrell,49.280881,-123.130672,0,"(49.280881, -123.130672)"
14th & Cambie,49.258763,-123.115392,2,"(49.258763, -123.115392)"
Granville & Georgia,49.282409,-123.118541,18,"(49.282409, -123.118541)"
Grant & Commercial,49.271377,-123.069416,0,"(49.271377, -123.069416)"
8th & Ontario,49.263837,-123.105173,3,"(49.263837, -123.105173)"
Hornby & Nelson,49.28062,-123.12482,4,"(49.28062, -123.12482)"
šxʷƛ̓ənəq Xwtl'e7énḵ Square - Vancouver Art Gallery,49.283227,-123.120523,7,"(49.283227, -123.120523)"
Dunsmuir & Beatty,49.279764,-123.110154,16,"(49.279764, -123.110154)"
Robson & Granville,49.281506,-123.120101,2,"(49.281506, -123.120101)"
4th & Commercial,49.266969,-123.069936,0,"(49.266969, -123.069936)"
8th & Scotia,49.263635,-123.099236,1,"(49.263635, -123.099236)"
Homer & Robson (Vancouver Public Library),49.279739,-123.116251,3,"(49.279739, -123.116251)"
7th & Granville,49.2653,-123.13811,5,"(49.2653, -123.13811)"
Harwood & Bute,49.28026,-123.135244,2,"(49.28026, -123.135244)"
Creekside Park North,49.2756,-123.102661,9,"(49.2756, -123.102661)"
Nicola & Robson,49.2885056,-123.1312375,2,"(49.2885056, -123.1312375)"
10th & Commercial,49.261403,-123.070102,7,"(49.261403, -123.070102)"
10th & Cambie,49.262487,-123.114397,8,"(49.262487, -123.114397)"
Quebec & 1st,49.27033,-123.10275,9,"(49.27033, -123.10275)"
Lakewood & Oxford,49.285575,-123.061575,5,"(49.285575, -123.061575)"
Carolina & Great Northern Way,49.267266,-123.090786,12,"(49.267266, -123.090786)"
Columbia & 5th,49.266476,-123.109389,18,"(49.266476, -123.109389)"
East Blvd & 37th,49.238105,-123.154966,13,"(49.238105, -123.154966)"
Trafalgar & Cornwall,49.272969,-123.164325,5,"(49.272969, -123.164325)"
5th & Arbutus,49.267222,-123.153157,3,"(49.267222, -123.153157)"
Stanley Park - Information Booth,49.297933,-123.130758,1,"(49.297933, -123.130758)"
14th & Main,49.258425,-123.100792,0,"(49.258425, -123.100792)"
Georgia & Main,49.278529,-123.100017,17,"(49.278529, -123.100017)"
Alma & Point Grey,49.27247,-123.185643,5,"(49.27247, -123.185643)"
20th & Main,49.252691,-123.101289,4,"(49.252691, -123.101289)"
Nelson & Mainland,49.276436,-123.11877,6,"(49.276436, -123.11877)"
Point Grey & Blenheim,49.271471,-123.17731,9,"(49.271471, -123.17731)"
Yukon & 6th,49.265939,-123.1129,12,"(49.265939, -123.1129)"
Burrard & 7th,49.265336,-123.145823,3,"(49.265336, -123.145823)"
14th & Granville,49.25894,-123.139272,5,"(49.25894, -123.139272)"
Wall & Eton,49.287464,-123.060771,14,"(49.287464, -123.060771)"
Beach & Cardero,49.283298,-123.142288,6,"(49.283298, -123.142288)"
Cypress & 4th,49.268269,-123.147885,14,"(49.268269, -123.147885)"
Bute & Robson,49.285836,-123.127265,0,"(49.285836, -123.127265)"
Richards & Robson,49.280216,-123.117639,2,"(49.280216, -123.117639)"
Glen & Union,49.277469,-123.081315,13,"(49.277469, -123.081315)"
8th & Yukon,49.263962,-123.112621,0,"(49.263962, -123.112621)"
1st & Chestnut,49.270721,-123.146175,22,"(49.270721, -123.146175)"
